Manche;Nom;Vie;Dégâts;Vitesse
23;GiantEnfant;255,58;45,95;1,07
23;GiantEnfant;261,48;34,73;1,07
23;GiantEnfant;267,69;38,42;1,04
23;GiantEnfant;258,20;38,95;0,93
23;GiantEnfant;243,14;37,74;0,89
23;GiantEnfant;242,78;45,27;1,11
23;GiantEnfant;168,06;33,69;1,13
23;GiantEnfant;186,05;40,19;1,17
24;GiantEnfant;265,00;42,95;0,97
24;GiantEnfant;242,39;40,87;0,86
24;GiantEnfant;252,30;38,74;0,93
24;GiantEnfant;257,62;33,27;1,08
24;GiantEnfant;241,99;35,71;1,09
24;GiantEnfant;168,11;33,31;1,10
24;GiantEnfant;178,64;38,90;1,20
24;GiantEnfant;193,86;38,60;0,77
24;GiantEnfant;247,82;32,14;1,09
24;GiantEnfant;236,16;39,52;0,88
24;GiantEnfant;182,43;31,79;1,13
24;GiantEnfant;195,06;37,74;1,04
24;GiantEnfant;240,78;40,70;0,83
24;GiantEnfant;247,62;39,92;1,12
24;GiantEnfant;173,18;36,10;1,15
24;GiantEnfant;250,92;37,51;1,04
24;GiantEnfant;273,53;39,37;0,93
24;GiantEnfant;248,21;42,35;1,12
24;GiantEnfant;254,65;33,20;0,86
24;GiantEnfant;261,93;32,64;1,21
25;GiantEnfant;172,02;34,80;1,17
25;GiantEnfant;254,57;43,05;0,95
25;GiantEnfant;238,20;41,30;0,83
25;GiantEnfant;190,45;38,47;1,04
25;GiantEnfant;235,22;37,03;1,04
25;GiantEnfant;174,98;40,76;1,14
25;GiantEnfant;161,62;34,67;1,06
25;GiantEnfant;257,91;42,34;1,08
25;GiantEnfant;188,62;38,15;0,77
25;GiantEnfant;253,36;35,90;1,01
25;GiantEnfant;174,64;42,32;1,10
25;GiantEnfant;192,63;43,48;1,08
25;GiantEnfant;258,83;40,31;1,10
25;GiantEnfant;248,56;44,22;1,08
25;GiantEnfant;174,09;37,95;1,05
25;GiantEnfant;172,80;34,70;1,13
25;GiantEnfant;246,70;40,45;1,14
25;GiantEnfant;168,79;42,03;1,17
25;GiantEnfant;261,19;33,97;1,01
25;GiantEnfant;186,84;37,32;1,08
26;GiantEnfant;260,70;40,94;0,95
26;GiantEnfant;164,82;35,38;1,22
26;GiantEnfant;195,19;38,06;1,06
26;GiantEnfant;242,78;42,74;0,87
26;GiantEnfant;198,61;36,96;1,04
26;GiantEnfant;235,58;37,46;1,06
26;GiantEnfant;157,50;35,96;1,03
26;GiantEnfant;174,70;41,71;1,19
26;GiantEnfant;195,77;39,19;0,80
26;GiantEnfant;255,07;41,74;1,12
26;GiantEnfant;232,08;35,48;1,08
26;GiantEnfant;248,91;43,85;1,13
26;GiantEnfant;261,76;36,27;1,11
26;GiantEnfant;188,55;40,20;1,08
26;GiantEnfant;189,24;39,67;1,18
26;GiantEnfant;179,22;34,91;1,18
26;GiantEnfant;168,20;34,80;1,12
26;GiantEnfant;182,42;35,15;1,08
26;GiantEnfant;179,19;42,75;0,85
26;GiantEnfant;169,20;35,11;1,22
27;GiantEnfant;264,44;41,47;0,95
27;GiantEnfant;249,74;41,48;0,85
27;GiantEnfant;196,66;37,62;1,03
27;GiantEnfant;236,73;38,35;1,03
27;GiantEnfant;154,18;35,57;1,02
27;GiantEnfant;266,60;36,22;1,06
27;GiantEnfant;195,75;38,13;0,82
27;GiantEnfant;179,67;35,47;1,13
27;GiantEnfant;169,07;35,80;1,20
27;GiantEnfant;226,76;35,76;1,08
27;GiantEnfant;163,02;35,59;1,01
27;GiantEnfant;171,31;39,06;0,96
27;GiantEnfant;263,24;35,87;1,13
